,Methods,Pearson Corr.,Domains short name,Domain full name
0,NiCo coeff,0.4124207983396578,D1,HY-EA-Glut-GABA
1,NiCo coeff,0.3258977413745718,D2,NN-IMN-GC
2,NiCo coeff,0.5283596830713325,D3,Pallium-Glut
3,NiCo coeff,0.1974573507882532,D4,Subpallium-GABA
4,NiCo coeff,0.6752908348450232,D5,Subpallium-GABA;HY-EA-Glut-GABA
5,NiCo coeff,0.8172698345045327,D6,Subpallium-GABA;NN-IMN-GC
6,CellCharter,0.072650779726751,D1,HY-EA-Glut-GABA
7,CellCharter,0.2381825942120819,D2,NN-IMN-GC
8,CellCharter,0.1126643917375787,D3,Pallium-Glut
9,CellCharter,0.6140353955688861,D4,Subpallium-GABA
10,CellCharter,0.1568161024442917,D5,Subpallium-GABA;HY-EA-Glut-GABA
11,CellCharter,0.1828645532014481,D6,Subpallium-GABA;NN-IMN-GC
12,SpaGCN Res0.05,0.3308279116193143,D1,HY-EA-Glut-GABA
13,SpaGCN Res0.05,0.4100824806233498,D2,NN-IMN-GC
14,SpaGCN Res0.05,0.1184473860170614,D3,Pallium-Glut
15,SpaGCN Res0.05,0.245904996581981,D4,Subpallium-GABA
16,SpaGCN Res0.05,0.0859687748306932,D5,Subpallium-GABA;HY-EA-Glut-GABA
17,SpaGCN Res0.05,-0.4186925474883708,D6,Subpallium-GABA;NN-IMN-GC
18,SpaGCN Res0.1,0.3419324488735088,D1,HY-EA-Glut-GABA
19,SpaGCN Res0.1,0.5133279839436262,D2,NN-IMN-GC
20,SpaGCN Res0.1,0.0763638110121763,D3,Pallium-Glut
21,SpaGCN Res0.1,0.4998553469060049,D4,Subpallium-GABA
22,SpaGCN Res0.1,-0.1445228761552139,D5,Subpallium-GABA;HY-EA-Glut-GABA
23,SpaGCN Res0.1,0.903573557531402,D6,Subpallium-GABA;NN-IMN-GC
24,Stagate Res0.1,0.126834859265476,D1,HY-EA-Glut-GABA
25,Stagate Res0.1,0.3883185903301202,D2,NN-IMN-GC
26,Stagate Res0.1,-0.1681567693503292,D3,Pallium-Glut
27,Stagate Res0.1,0.065983383270493,D4,Subpallium-GABA
28,Stagate Res0.1,0.126834859265476,D5,Subpallium-GABA;HY-EA-Glut-GABA
29,Stagate Res0.1,0.4829578245874943,D6,Subpallium-GABA;NN-IMN-GC
30,Stagate Res0.2,0.4505533122985155,D1,HY-EA-Glut-GABA
31,Stagate Res0.2,0.405784269806967,D2,NN-IMN-GC
32,Stagate Res0.2,-0.1839433946174906,D3,Pallium-Glut
33,Stagate Res0.2,0.0678246599277449,D4,Subpallium-GABA
34,Stagate Res0.2,0.0275296294371331,D5,Subpallium-GABA;HY-EA-Glut-GABA
35,Stagate Res0.2,0.6261625550388048,D6,Subpallium-GABA;NN-IMN-GC
36,Banksy Res0.2,0.1202911196288003,D1,HY-EA-Glut-GABA
37,Banksy Res0.2,0.289195866015297,D2,NN-IMN-GC
38,Banksy Res0.2,-0.3105143503875415,D3,Pallium-Glut
39,Banksy Res0.2,0.0551633272596027,D4,Subpallium-GABA
40,Banksy Res0.2,0.1202911196288003,D5,Subpallium-GABA;HY-EA-Glut-GABA
41,Banksy Res0.2,0.382285121211128,D6,Subpallium-GABA;NN-IMN-GC
42,Banksy Res0.9,0.1430584956672244,D1,HY-EA-Glut-GABA
43,Banksy Res0.9,0.1047974435428657,D2,NN-IMN-GC
44,Banksy Res0.9,0.4848551004881775,D3,Pallium-Glut
45,Banksy Res0.9,0.5629751987556687,D4,Subpallium-GABA
46,Banksy Res0.9,-0.1716091246462779,D5,Subpallium-GABA;HY-EA-Glut-GABA
47,Banksy Res0.9,0.5760588136250516,D6,Subpallium-GABA;NN-IMN-GC
48,SpatialPCA,0.6277406626416451,D1,HY-EA-Glut-GABA
49,SpatialPCA,0.3433100200333724,D2,NN-IMN-GC
50,SpatialPCA,0.0994769133237237,D3,Pallium-Glut
51,SpatialPCA,-0.0598823967384936,D4,Subpallium-GABA
52,SpatialPCA,-0.1470482211701077,D5,Subpallium-GABA;HY-EA-Glut-GABA
53,SpatialPCA,0.5515969078346922,D6,Subpallium-GABA;NN-IMN-GC
54,Seurat,0.1892210943163742,D1,HY-EA-Glut-GABA
55,Seurat,0.5702909346744707,D2,NN-IMN-GC
56,Seurat,-0.2377076869352477,D3,Pallium-Glut
57,Seurat,0.0844332199536183,D4,Subpallium-GABA
58,Seurat,0.3066376366289574,D5,Subpallium-GABA;HY-EA-Glut-GABA
59,Seurat,0.2932913345033449,D6,Subpallium-GABA;NN-IMN-GC
