,Methods,Pearson Corr.,Domains
0,NiCo coeff,0.6677701502200225,HPC
1,NiCo coeff,0.7596977815571553,L1
2,NiCo coeff,0.6451851083728561,L2/3
3,NiCo coeff,0.7027769337489111,L4
4,NiCo coeff,0.7333352782938768,L5
5,NiCo coeff,0.7157714053120613,L6
6,NiCo coeff,0.6610625190589072,cc
7,CellCharter,0.7696888715471761,HPC
8,CellCharter,0.448956613284639,L1
9,CellCharter,0.975735866313214,L2/3
10,CellCharter,0.978653532723646,L4
11,CellCharter,0.6937489282147093,L5
12,CellCharter,0.9261213726076092,L6
13,CellCharter,0.4098693230618714,cc
14,SpaGCN,0.4355266071139073,HPC
15,SpaGCN,0.7222557922558548,L1
16,SpaGCN,0.2598131541461197,L2/3
17,SpaGCN,0.8418295937794372,L4
18,SpaGCN,0.4077838176518075,L5
19,SpaGCN,0.8276470867172361,L6
20,SpaGCN,0.3471773903152165,cc
21,Stagate,0.6533991593811771,HPC
22,Stagate,0.7651719694598962,L1
23,Stagate,0.9621272002089092,L2/3
24,Stagate,0.5538628162203099,L4
25,Stagate,0.9260990107228668,L5
26,Stagate,0.9394676026724624,L6
27,Stagate,0.1376343291197733,cc
28,Banksy,0.9610141152607622,HPC
29,Banksy,0.71592042452304,L1
30,Banksy,0.9154289633370803,L2/3
31,Banksy,0.5874221338436855,L4
32,Banksy,0.971169153950567,L5
33,Banksy,0.9650787314874958,L6
34,Banksy,0.856811336966138,cc
35,SpatialPCA,0.758878800847374,HPC
36,SpatialPCA,0.6010813330048912,L1
37,SpatialPCA,0.9493455931063302,L2/3
38,SpatialPCA,0.5360306079226038,L4
39,SpatialPCA,0.930513257077738,L5
40,SpatialPCA,0.9200224990288236,L6
41,SpatialPCA,0.7275441873938872,cc
42,Seurat,0.9718798893692784,HPC
43,Seurat,0.912712518570438,L1
44,Seurat,0.98420902435081,L2/3
45,Seurat,0.979915023155192,L4
46,Seurat,0.7794177891146608,L5
47,Seurat,0.9613152988810992,L6
48,Seurat,0.513211471705938,cc
