,Methods,Pearson Corr.,Domains
0,NiCo coeff,0.6282408120306703,HPC
1,NiCo coeff,0.7480378189790722,L1
2,NiCo coeff,0.9432883264854878,L2/3
3,NiCo coeff,0.9362904604041928,L4
4,NiCo coeff,0.7323986628490848,L5
5,NiCo coeff,0.9343611198476512,L6
6,NiCo coeff,0.9679000621719888,cc
7,CellCharter,0.4487620451869282,HPC
8,CellCharter,0.1970690549983513,L1
9,CellCharter,0.9963583637528172,L2/3
10,CellCharter,0.9995952839377246,L4
11,CellCharter,0.9705300078422884,L5
12,CellCharter,0.9990630745555292,L6
13,CellCharter,0.983725569330218,cc
14,SpaGCN,-0.190095114550781,HPC
15,SpaGCN,0.8076980101152424,L1
16,SpaGCN,0.9544871411777238,L2/3
17,SpaGCN,0.993237240396418,L4
18,SpaGCN,0.7214373131603296,L5
19,SpaGCN,0.9931445832322672,L6
20,SpaGCN,0.9898977200283032,cc
21,Stagate,0.2536363901522298,HPC
22,Stagate,0.6579634650100371,L1
23,Stagate,0.9931234798837848,L2/3
24,Stagate,0.9995161195804648,L4
25,Stagate,0.9542757268940733,L5
26,Stagate,0.9993761761415908,L6
27,Stagate,0.9906352962532418,cc
28,Banksy,0.8752825312897481,HPC
29,Banksy,0.1806300152157603,L1
30,Banksy,0.9829168093190702,L2/3
31,Banksy,0.9995482843787986,L4
32,Banksy,0.9552891447880798,L5
33,Banksy,0.9988711172162552,L6
34,Banksy,0.9989804328129496,cc
35,SpatialPCA,0.7995528035444894,HPC
36,SpatialPCA,0.1841648298695386,L1
37,SpatialPCA,0.9915501585410768,L2/3
38,SpatialPCA,0.9988011674070164,L4
39,SpatialPCA,0.9145437358809968,L5
40,SpatialPCA,0.9982558158161332,L6
41,SpatialPCA,0.9975825304556888,cc
42,Seurat,0.9143175780166456,HPC
43,Seurat,0.7686669020883153,L1
44,Seurat,0.9979553597130404,L2/3
45,Seurat,0.9980905949626953,L4
46,Seurat,0.98058993614857,L5
47,Seurat,0.999352150374517,L6
48,Seurat,0.9993746885228368,cc
