barcode,Xcoord,Ycoord,Zcoord
cell1,2070.404761904762,19.023809523809526,0
cell2,2071.304347826087,87.07246376811594,0
cell3,2091.342857142857,61.8,0
cell4,2150.8397435897436,40.916666666666664,0
cell5,2238.1801801801803,29.89189189189189,0
cell6,2077.818181818182,220.45454545454547,0
cell7,2216.846153846154,111.20879120879121,0
cell8,2092.5616438356165,161.04109589041096,0
cell9,2172.5,177.71428571428572,0
cell10,2334.705263157895,24.610526315789475,0
cell11,2074.0158730158732,285.6111111111111,0
cell12,1984.7431192660551,413.39449541284404,0
cell13,2140.2549019607845,252.20261437908496,0
cell14,2020.5862068965516,355.37931034482756,0
cell16,2370.8349514563106,69.51456310679612,0
cell17,2244.4880952380954,99.67857142857143,0
cell18,2223.2241379310344,171.6206896551724,0
cell19,1981.0849673202615,512.5228758169935,0
cell20,2107.453703703704,376.7962962962963,0
cell21,2294.6666666666665,161.45833333333334,0
cell22,2365.5675675675675,144.81981981981983,0
cell23,2041.8181818181818,439.1948051948052,0
cell24,2281.3518518518517,223.7962962962963,0
cell25,2425.0943396226417,44.35849056603774,0
cell26,2170.637931034483,327.2068965517241,0
cell27,2233.2473118279568,264.1720430107527,0
cell28,2036.6666666666667,541.1333333333333,0
cell29,2530.77397260274,50.58904109589041,0
cell30,2072.419540229885,534.0172413793103,0
cell31,2313.353448275862,252.75862068965517,0
cell32,2246.677777777778,342.05555555555554,0
cell33,1972.1666666666667,610.3730158730159,0
cell34,2541.2549019607845,145.94117647058823,0
cell35,2221.9758064516127,414.3790322580645,0
cell36,2379.315789473684,256.7368421052632,0
cell37,2154.95530726257,485.3184357541899,0
cell38,1930.3,726.4777777777778,0
cell39,2321.0,357.6948051948052,0
cell40,2036.648148148148,640.7222222222222,0
cell43,1825.4,923.4260869565218,0
cell44,2552.3076923076924,246.83516483516485,0
cell46,2605.8125,191.41666666666666,0
cell47,2408.1,360.0875,0
cell48,2121.5172413793102,655.3793103448276,0
cell49,2255.980582524272,524.4368932038835,0
cell50,2194.5,558.3,0
cell51,2343.622641509434,447.8018867924528,0
cell52,1790.8333333333333,990.8888888888889,0
cell53,1929.7672955974842,837.4276729559748,0
cell54,2060.5833333333335,774.3888888888889,0
cell55,2827.157894736842,59.03508771929825,0
cell56,2557.710691823899,333.33962264150944,0
cell57,2224.1686746987953,611.7710843373494,0
cell58,1890.10780669145,969.3940520446097,0
cell59,2624.24,259.96,0
cell60,1823.7764705882353,1019.4411764705883,0
cell61,2822.448818897638,61.724409448818896,0
cell62,2755.641025641026,76.97435897435898,0
cell63,2205.2921348314608,685.685393258427,0
cell64,2487.1463414634145,416.0569105691057,0
cell65,2673.95,243.9,0
cell66,1873.2547770700637,1072.4713375796177,0
cell67,1995.33,902.03,0
cell69,2167.37106918239,769.0188679245283,0
